phrase,prompt
I feel really sad all the time.,Emotional pain
is my cut infected or just healing?,Infected wound
I have pain in my chest that saddens me.,Heart hurts
There's swelling in my neck and it hurts.,Neck pain
My knees seem to grind as I go up or down stairs.,Knee pain
I have shooting pains up and down my back.,Back pain
I can't turn my neck to the left without feeling a stabbing pain,Neck pain
What helps cuts heal faster?,Open wound
I cut myself and I'm bleeding.,Open wound
After walking I have some pain under my foot,Foot ache
There are lots of hairs on my pillow in the morning.,Hair falling out
I have constant stomach pain and bloating.,Internal pain
"I can't hear out of my ear properly, I feel like there is something in it causing irritation.",Ear ache
My hair is falling out in bunches.,Hair falling out
It feels like my heart is going to leap out of my body. It hurts.,Heart hurts
I have a very rash sensation close to my arms,Skin issue
my left side aches much,Internal pain
Surgical wound infections,Infected wound
When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold
Every time I look to left I feel a sharp pain in my neck.,Neck pain
i was travelling by ship and i feel dizzy.,Feeling dizzy
I had an accident and my wound was open when I arrived to hospital,Open wound
I do not know why I feel cold,Feeling cold
I feel very hard to breathe,Hard to breath
It is like I have a needle pushing through my heart.,Heart hurts
I have constant stomach pain and bloating.,Internal pain
I lose a lot of my hair,Hair falling out
I need a kind of cream wich make my muscles more relaxed,Muscle pain
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache
"redness, swelling, and difficulty walking",Knee pain
I feel a sharp pain in my stomach,Internal pain
I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,Open wound
there is acne on my face,Acne
I have a problem in the expiration because i have abronchial asthma,Hard to breath
Why is my shoulder aching when I try to pick up the laundry?,Shoulder pain
When I played football I dislocated my shoulder,Injury from sports
It feels like someone stuck a knife into my shoulder,Shoulder pain
I read a book for along time and when I finished reading I feel head ache,Head ache
I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.,Foot ache
I feel joint pain every time I move,Joint pain
I feel great pain in my feet after playing one of the sports games,Injury from sports
i have muscle pain at my left leg.,Muscle pain
When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me,Stomach ache
There is so much pain when I move my arm.,Shoulder pain
"I am always cold, even when I am wearing layers",Feeling cold
"There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog.",Internal pain
"It's hard to stand up, and I'm moving very slowly",Body feels weak
I have this strange rash on my arm.,Skin issue
"can't do any exercise, i feel weak",Body feels weak
"My head hurts and I lose the sensation in my face, then lose sight in my eye",Head ache
I feel pain in my right shoulder after the tennis match.,Injury from sports
I have a foot ache although I don't walk a lot.,Foot ache
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache
"My hair is falling without a reason, I can see a lot of hair on my working desk.",Hair falling out
I had a pain in my knee when I was swimming,Knee pain
My neck hurts me and i can't stand with this pain,Neck pain
I feel a pain in my neck,Neck pain
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain
I get clusters of whiteheads and blackheads on my back.,Acne
my left side aches much,Internal pain
i am having problems seeing things feel like a cloud on my eyes everything is blurry,Blurry vision
The severe pain in the stomach I feel,Stomach ache
I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help,Injury from sports
My head hurts whenever I try to do something.,Head ache
This long scar on my left buttock is from falling off my mountain bike.,Injury from sports
My shower drain is full of hair every time.,Hair falling out
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache
i'm injured i can't play sports,Injury from sports
i feel pain in my neck,Neck pain
Surgical wound infections,Infected wound
I don't have the energy to do the things that I used to,Body feels weak
I wake up at night feeling cold,Feeling cold
I'm not feeling good I can't take my breath,Hard to breath
I have blurred vision.,Blurry vision
when i wake up in the morning i feel dizzy,Feeling dizzy
Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne
I have a painful cramp in my feet,Foot ache
I feel very hard to breathe,Hard to breath
i was watching tv and suddenly have blurry vision,Blurry vision
I got injured exercising,Injury from sports
I get i joint pain when i try to bend my leg or my arm,Joint pain
I feel pain in my joint after an injury in the last football match I played.,Joint pain
My head is spinning when I get up.,Feeling dizzy
My wound opened up again,Open wound
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",Acne
I have pain in my stomach,Stomach ache
It hurts when I raise my arm up,Shoulder pain
My neck hurts me and i can't stand with this pain,Neck pain
I feel heart pain when I walk a lot,Heart hurts
I'm not feeling good I get infection wound,Infected wound
I feel pain in my neck after waking up,Neck pain
I had a pain in my knee when I was swimming,Knee pain
I can't do anything I feel a weak in my body,Body feels weak
I get breakouts on my chest with red patches that get more intense when i get hot.,Acne
I have pimples on my back.,Acne
The knee feels like it rusted and I suddenly cannot bend it anymore.,Knee pain
There is pain in the muscles I do not know caused,Muscle pain
"I can't stand up, I feel my brain is moving inside my skull.",Head ache
I have internal pain whenever I come down with a cold.,Internal pain
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak
"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain
I don't do anything at home and still I feel exhausted.,Body feels weak
I usually have a bad cough when I get flu.,Cough
I got acne when I ate chili,Acne
I feel very hard to breathe,Hard to breath
when i raise my hand i feel pain in my shoulder.,Shoulder pain
I have acne all over my face,Acne
I get clusters of pimples on my face that never go away.,Acne
My foot hurts me a lot of playing football,Foot ache
I'm having a hard time reading because the letters are all fuzzy,Blurry vision
i was playing football and injuried with joint pain.,Joint pain
I feel discomfort throughout the body in general,Body feels weak
there pain in my foot,Foot ache
I don't know why I'm constantly sad.,Emotional pain
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain
Chronic disease of hair follicles and sebaceous glands,Acne
My chest hurts when I smoke,Internal pain
I feel lightheaded when I stand up,Feeling dizzy
My heart hurts when I exercise,Heart hurts
I feel a burning sensation in my shoulder muscle.,Muscle pain
i feel pain in my neck,Neck pain
i have a great pain in my thorax from heart injury,Heart hurts
